eventId,eventName,subEventName,When is it generated,Event Desc (JSON),Generator (enum),botId | uuid,userId | uuid,orgId | uuid,conversationId | uuid,messageId | uuid,audiourl | url,audioId | uuid,text | string,mediaIds | array,spellCorrectedText | string,error | string,timeElapsed | number,spellCheckTimeTaken | number,phoneNumber | string,createdAt | date,queryId | uuid,deviceId | string,userManagementUrl | string,textInEnglish | string,userHistory | json,coreferencedText | string,block | string,district | string,queryClass | string,NER | json,similarChunks | json,responseInEnglish | string,response | string,feedback | string,reaction | number,timesAudioUsed | number
1,speechToText,receivedAudio,BFF received audio from a bot,"// Here explain what your columns are about, as json",BFF,Required ,Required ,Required ,Optional ,Optional ,Required,Required ,,,,,,,,,,,,,,,,,,,,,,,,
,,speechToTextResponse,Audio is converted to text from audio,,BFF,Required ,Required ,Required ,Required ,Required ,Required,Required ,Required ,,Required ,Required ,Required ,Required ,Required ,Required ,,,,,,,,,,,,,,,,
,,mapQueryIdToAudio,AudioId is mapped to QueryId,,BFF,Required ,Required ,Required ,Required ,Required ,Required,Required ,Required ,,Required ,Required ,Required ,Required ,Required ,Required ,Required ,,,,,,,,,,,,,,,
2,userQuery,incomingMessage,User sent a message to a bot,,Inbound,Required,Required,Required,Required,Required,,,Required ,Optional,,,,,Optional,Required,,Required,,,,,,,,,,,,,,
,,userHistory,Fetching user history at inbound,,Inbound,Required,Required,Required,Required,Required,,,Required,,,,Required,,Optional,,Required,,,,Required,,,,,,,,,,,
,,userInfo,Fetching user info - transformer,,Tranformer,Required,Required,Required,Required,Required,,,Required,,,,Required,,,,Required,,,,,,Required,Required,,,,,,,,
,,translateInput,translate - transformer,,Tranformer,Required,Required,Required,Required,Required,,,Required,,,,Required,,Optional,,Required,,,Required,,,,,,,,,,,,
,,nuralCoreference,nuralCoref - transformer,,Tranformer,Required,Required,Required,Required,Required,,,Required,,,,Required,,Optional,,Required,,,Required,,Required,,,,,,,,,,
,,classifyQuestion,classifier - transformer,,Tranformer,Required,Required,Required,Required,Required,,,Required,,,,Required,,Optional,,Required,,,Required,,,,,Required,,,,,,,
,,retreiveSimilarChunks,retieveDocs - transformer,,Tranformer,Required,Required,Required,Required,Required,,,Required,,,,Required,,Optional,,Required,,,Required,,,,,,,Required,,,,,
,,NER,ner - transformer,,Tranformer,Required,Required,Required,Required,Required,,,Required,,,,Required,,Optional,,Required,,,Required,,,,,,Required,,,,,,
,,llmResponse,llm - transformer,,Tranformer,Required,Required,Required,Required,Required,,,Required,,,,Required,,Optional,,Required,,,Required,,,,,,,,Required,Optional,,,
,,translateOutput,translate - transformer,,Tranformer,Required,Required,Required,Required,Required,,,Required,,,,Required,,Optional,,Required,,,Required,,,,,,,,Required,Required,,,
,,textToSpeech,textToSpeech - transformer,,Tranformer,Required,Required,Required,Required,Required,Required,Required,Required,,,,Required,,Optional,,Required,,,Required,,,,,,,,Required,Required,,,
,,audioPlayed,When user plays audio at app,,App,Required,Required,Required,Required,Required,,,Required,,,,Required,,Optional,,Required,,,,,,,,,,,,,,,Requied
,,responseReceivedAtApp,When user gets the response at app,,App,Required,Required,Required,Required,Required,,,Required,,,,Required,,Optional,,Required,,,,,,,,,,,Required,Required,,,
3,userQueryInbound,outgoingMessage,A message was sent to user,,Inbound,Required,Required,Required,Required,Required,,,Optional,Optional,,,Required,,,Required,,Required,,,,,,,,,,,,,,
,,convertXmsgFailed,XMessage to raw message conversion failed,,Inbound,Required,Required,Required,Required,Required,,,Optional,Optional,,,,,,Required,,Required,,,,,,,,,,,,,,
,,convertMsgFailed,Raw message conversion to XMessage failed,,Inbound,Required,,Required,Optional,Optional,,,Optional,Optional,,,,,,Required,,Required,,,,,,,,,,,,,,
,,registrationRequest,A registration request was sent to the bot,,Inbound,Required,,Required,Required,Required,,,Optional,Optional,,,,,,Required,,Required,Required,,,,,,,,,,,,,
,,registrationFailed,A registration request failed,,Inbound,Required,,Required,Required,Required,,,Optional,Optional,,,,,,Required,,Required,Required,,,,,,,,,,,,,
,,feedbackRequest,A user sent a feedback on a message,,Inbound,Required,,Required,Required,Required,,,Optional,,,,,,,Required,,Required,,,,,,,,,,,,Optonal,Required,
,,messageRead,User read the message sent by a bot,,Inbound,Required,,Required,Required,Required,,,Optional,Optional,,,,,,Required,,Required,,,,,,,,,,,,,,
