,eventName,subEventName,When is it generated,Status,Event Desc (JSON),Generator (enum),eventId,botId | uuid,userId | uuid,orgId | uuid,conversationId | uuid,messageId | uuid,audioFileName | string,audioUrl | url,audioId | uuid,text | string,mediaIds | array,spellCorrectedText | string,error | string,timeTaken | number,spellCheckTimeTaken | number,phoneNumber | string,createdAt | unix-time,queryId | uuid,did | string,userManagementUrl | string,textInEnglish | string,coreferencedText | string,block | string,district | string,queryClass | string,NER | json,similarChunks | json,responseInEnglish | string,response | string,feedback | string,reaction | number,timesAudioUsed | number,outputText | string,errorRate | number,schemaId | uuid,datasetId | uuid,question | string,field|string,threshold | number,sqlQuery | string,result | json,documentId | array,requestId | uuid,eventLog | string,transformerId | string,language | string,prompt | json,translatedResponse | string,streamStartLatency | number,reactionType | string,reactionText | string,userHistory | string
1,speechToText,receivedAudio,BFF received audio from a bot,Done,"// Here explain what your columns are about, as json",AI-Tools-Proxy,E001,Required ,Required ,Required ,Optional ,Optional ,,Optional,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optional,,,,,,
2,,speechToTextResponse,Audio is converted to text from audio,Done,,AI-Tools-Proxy,E002,Required ,Required ,Required ,Optional,Required ,Optional,Optional,Optional,Optional,,Optional,Optional,Required ,Optional,Optional,Required ,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optional,,,,,,
3,,mapQueryIdToAudio,AudioId is mapped to QueryId,Done,,BFF,E003,Required ,Required ,Required ,Optional,Required ,,Required,Optional,Required ,,Required ,Optional,Required ,Required ,Optional,Required ,Required ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,userQuery,incomingMessage,User sent a message to a bot,Done,,Inbound,E004,Required,Required,Required,Optional,Required,,,,Required ,Optional,,,,,Optional,Required,,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,userHistory,Fetching user history at inbound,Done,,Inbound,E005,Required,,Required,Optional,Required,,,,,,,,Required,,,,,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optional
6,,userInfo,Fetching user info - transformer,Done,,Transformer,E006,Required,Required,Required,Optional,Required,,,,Required,,,Optional,Optional,,,,Optional,,,,,Optional,Optional,,,,,,,,,,,,,,,,,,,,Optional,Required,,,,,,,
7,,translateInput,translate - transformer,Done,,Transformer,E007,Required,Required,Required,Optional,Required,,,,Required,,,Optional,Optional,,Optional,,Optional,,Optional,Optional,,,,,,,,,,,,,,,,,,,,,,,Optional,Required,,,,,,,
8,,nuralCoreference,nuralCoref - transformer,Done,,Transformer,E008,Required,Required,Required,Optional,Required,,,,Required,,,Optional,Optional,,Optional,,Optional,,,Optional,Optional,,,,,,,,,,,,,,,,,,,,,,Optional,Required,,,,,,,
9,,classifyQuestion,classifier - transformer,Done,,Transformer,E009,Required,Required,Required,Optional,Required,,,,Required,,,Optional,Optional,,Optional,,Optional,,,Optional,,,,Optional,,,,,,,,,,,,,,,,,,,Optional,Required,,,,,,,
10,,retreiveSimilarChunks,retieveDocs - transformer,Done,,Transformer,E010,Required,Required,Required,Optional,Required,,,,Required,,,Optional,Optional,,Optional,,Optional,,,Optional,,,,,,Optional,,,,,,,,,,,,,,,,,Optional,Required,,,,,,,
11,,NER,ner - transformer,Done,,Transformer,E011,Required,Required,Required,Optional,Required,,,,Required,,,Optional,Optional,,Optional,,Optional,,,Optional,,,,,Optional,,,,,,,,,,,,,,,,,,Optional,Required,,,,,,,
12,,llmResponse,llm - transformer,Done,,Transformer,E012,Required,Required,Required,Optional,Required,,,,Optional,,,Optional,Optional,,Optional,,Optional,,,Optional,,,,,,,Optional,Optional,,,,,,,,,,,,,,,Optional,Required,,Optional,Optional,Optional,,,
13,,userQuery,translate - transformer,Done,,Transformer,E013,Required,Required,Required,Optional,Required,,,,Required,,,Optional,Optional,,Optional,,Optional,,,Optional,,,,,,,Optional,Required,,,,,,,,,,,,,,,Optional,Required,,,,,,,
14,,userQuery,textToSpeech - transformer,Done,,AI-Tools-Proxy,E014,Required,Required,Required,Optional,Required,Optional,Optional,Optional,Required,,,Optional,Required,,Optional,,Required,,,Optional,,,,,,,Optional,Required,,,,,,,,,,,,,,,,,Optional,,,,,,
15,,userQuery,When user plays audio at app (timesAudioUsed),,,<PWA>,E015,Required,Required,Required,Optional,Required,,,,Required,,,,Optional,,Optional,,,,,,,,,,,,Optional,,,,Requied,,,,,,,,,,,,,,,,,,,,
16,,userQuery,When an error is occured during query process,,,"Transformer, Inbound, UCI",E016,Required,Required,Required,Optional,Required,,,,,,,Optional,,,,,,,,,,,,,,,,,,,,,Optional,,,,,,,,,,,,,,,,,,
17,,userQuery,When user gets the response at app (responseAt),Done,,<PWA>,E017,Required,Required,Required,Optional,Required,,,,Required,,,,Required,,Optional,,,,,,,,,,,,Optional,Optional,,,,,,,,,,,,,,,,,,,,,,,
18,userQueryInbound,userQuery,A message was sent to user,New Data,,Inbound,E018,Required,Required,Required,Required,Required,,,,Optional,Optional,,,Required,,,Required,,Required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
